"Zip Code","City","State","lat","lng","% of Visits","Visits","YoY Change in Visits","% YoY Change in Visits"
"50316","Des Moines","IA","41.60877019907311","-93.59780507531373","0.009","31","31","N/A"
"88346","Ruidoso Downs","NM","33.34814485094551","-105.54070662137234","0.009","31","-17","-35.416666666666664"
"55128","Saint Paul","MN","44.988125347363265","-92.96405061796806","0.009","31","31","N/A"
"38821","Amory","MS","33.97502242184294","-88.43918211012178","0.009","31","31","N/A"
"77078","Houston","TX","29.85291460446172","-95.25089323888379","0.009","31","31","N/A"
"81003","Pueblo","CO","38.2778011530308","-104.65666543354301","0.009","31","31","N/A"
"80022","Commerce City","CO","39.86449513645556","-104.7886779045533","0.009","31","31","N/A"
"76384","Vernon","TX","34.143525154199956","-99.32069387367389","0.009","31","-55","-63.95348837209303"
"77489","Missouri City","TX","29.600678929613544","-95.51605372692889","0.009","31","-49","-61.25000000000001"
"77437","El Campo","TX","29.204511562157442","-96.27328017008622","0.009","31","-27","-46.55172413793104"
"78504","McAllen","TX","26.277595839590184","-98.23728099908675","0.009","31","-28","-47.45762711864406"
"88132","Lingo","NM","33.92387332087664","-103.18860711274236","0.009","30","30","N/A"
"80701","Fort Morgan","CO","40.13493426652097","-103.81105325309784","0.009","30","30","N/A"
"44131","Independence","OH","41.3835062115015","-81.65347533090276","0.009","30","30","N/A"
"98248","Ferndale","WA","48.86451573522737","-122.62263847988221","0.009","30","30","N/A"
"86029","Sun Valley","AZ","34.96834466993852","-110.01176212432993","0.008","30","30","N/A"
"80910","Colorado Springs","CO","38.81176435074142","-104.77426099374152","0.008","30","-8","-21.052631578947366"
"85118","Gold Canyon","AZ","33.37369417938347","-111.36547359417156","0.008","30","30","N/A"
"84770","Saint George","UT","37.13820374476026","-113.62943282155514","0.008","30","30","N/A"
"75093","Plano","TX","33.03521818233605","-96.80946889809631","0.008","30","-6","-16.666666666666664"
"76539","Kempner","TX","31.091972390369364","-97.99920078072674","0.008","30","13","76.47058823529412"
"66866","Peabody","KS","38.17440166380863","-97.10384190842403","0.008","30","30","N/A"
"67335","Cherryvale","KS","37.28004338030832","-95.53380397587534","0.008","30","30","N/A"
"80136","Strasburg","CO","39.80735203185757","-104.29604407490942","0.008","29","29","N/A"
"73949","Texhoma","OK","36.59290106500774","-101.9856292392266","0.008","29","-9","-23.684210526315784"
"72916","Fort Smith","AR","35.27247382221134","-94.3725654526677","0.008","29","29","N/A"
"88318","Cedarvale","NM","34.224936058630824","-105.44161896166926","0.008","29","29","N/A"
"79097","White Deer","TX","35.43103424095089","-101.17405848062637","0.008","29","-101","-77.6923076923077"
"75446","Honey Grove","TX","33.61382074983342","-95.89178732616391","0.008","29","15","107.14285714285717"
"32459","Santa Rosa Beach","FL","30.363377505561946","-86.184862376677","0.008","29","-4","-12.121212121212121"
"88001","Las Cruces","NM","32.29022190724242","-106.75314769075108","0.008","29","-6","-17.14285714285714"
